year,age,people
2010,0,5308
2010,5,5598
2010,10,5933
2010,15,6093
2010,20,6525
2010,25,7391
2010,30,8421
2010,35,9864
2010,40,8809
2010,45,8093
2010,50,7700
2010,55,8728
2010,60,10112
2010,65,8272
2010,70,7018
2010,75,5992
2010,80,4376
2010,85,2454
2010,90,1029
2010,95,298
2010,100,44
2015,0,4991
2015,5,5264
2015,10,5572
2015,15,5933
2015,20,6123
2015,25,6537
2015,30,7363
2015,35,8362
2015,40,9783
2015,45,8721
2015,50,7977
2015,55,7544
2015,60,8476
2015,65,9715
2015,70,7779
2015,75,6333
2015,80,5015
2015,85,3199
2015,90,1428
2015,95,411
2015,100,72
2020,0,4370
2020,5,4954
2020,10,5243
2020,15,5578
2020,20,6014
2020,25,6200
2020,30,6543
2020,35,7323
2020,40,8298
2020,45,9691
2020,50,8602
2020,55,7823
2020,60,7337
2020,65,8155
2020,70,9179
2020,75,7064
2020,80,5358
2020,85,3743
2020,90,1910
2020,95,604
2020,100,110
2025,0,3966
2025,5,4339
2025,10,4936
2025,15,5251
2025,20,5664
2025,25,6094
2025,30,6210
2025,35,6510
2025,40,7270
2025,45,8223
2025,50,9563
2025,55,8443
2025,60,7618
2025,65,7072
2025,70,7716
2025,75,8397
2025,80,6027
2025,85,4057
2025,90,2298
2025,95,833
2025,100,174
2030,0,3777
2030,5,3938
2030,10,4324
2030,15,4945
2030,20,5342
2030,25,5747
2030,30,6105
2030,35,6180
2030,40,6464
2030,45,7206
2030,50,8118
2030,55,9391
2030,60,8231
2030,65,7355
2030,70,6711
2030,75,7073
2030,80,7249
2030,85,4623
2030,90,2545
2030,95,1041
2030,100,253
2035,0,3611
2035,5,3751
2035,10,3925
2035,15,4333
2035,20,5034
2035,25,5425
2035,30,5759
2035,35,6076
2035,40,6138
2035,45,6410
2035,50,7117
2035,55,7976
2035,60,9162
2035,65,7958
2035,70,6995
2035,75,6182
2035,80,6125
2035,85,5667
2035,90,2956
2035,95,1188
2035,100,338
2040,0,3407
2040,5,3587
2040,10,3738
2040,15,3933
2040,20,4411
2040,25,5112
2040,30,5437
2040,35,5733
2040,40,6036
2040,45,6088
2040,50,6333
2040,55,6997
2040,60,7787
2040,65,8865
2040,70,7584
2040,75,6468
2040,80,5396
2040,85,4809
2040,90,3733
2040,95,1416
2040,100,409
2045,0,3157
2045,5,3384
2045,10,3575
2045,15,3746
2045,20,4004
2045,25,4480
2045,30,5123
2045,35,5413
2045,40,5695
2045,45,5988
2045,50,6017
2045,55,6229
2045,60,6836
2045,65,7541
2045,70,8456
2045,75,7036
2045,80,5682
2045,85,4291
2045,90,3188
2045,95,1865
2045,100,505
2050,0,2878
2050,5,3136
2050,10,3373
2050,15,3583
2050,20,3814
2050,25,4067
2050,30,4490
2050,35,5101
2050,40,5379
2050,45,5651
2050,50,5920
2050,55,5921
2050,60,6089
2050,65,6627
2050,70,7202
2050,75,7857
2050,80,6215
2050,85,4566
2050,90,2904
2050,95,1607
2050,100,696
2055,0,2629
2055,5,2859
2055,10,3125
2055,15,3380
2055,20,3648
2055,25,3874
2055,30,4076
2055,35,4471
2055,40,5069
2055,45,5338
2055,50,5588
2055,55,5828
2055,60,5792
2055,65,5908
2055,70,6339
2055,75,6705
2055,80,6959
2055,85,5038
2055,90,3142
2055,95,1509
2055,100,657
2060,0,2450
2060,5,2612
2060,10,2850
2060,15,3133
2060,20,3442
2060,25,3705
2060,30,3883
2060,35,4059
2060,40,4443
2060,45,5031
2060,50,5280
2060,55,5503
2060,60,5704
2060,65,5623
2060,70,5656
2060,75,5915
2060,80,5957
2060,85,5663
2060,90,3516
2060,95,1673
2060,100,637
